area_type,availability,size,society,total_sqft,bath,balcony,price,site_location
Super built-up  Area,Ready To Move,2 BHK,SuanaNa,1600,2,1,31,Pirangut
Super built-up  Area,Ready To Move,2 BHK,Prtor N,1200,2,0,34,Prabhat Road
Plot  Area,17-Apr,3 Bedroom,,2700,3,2,150,Pune Railway Station
Built-up  Area,Ready To Move,3 Bedroom,,1780,3,0,110,Rasta Peth
Built-up  Area,Ready To Move,3 BHK,Pranai ,1605,3,2,65,Raviwar Peth
Super built-up  Area,17-Sep,4 BHK,,7200,5,2,1584,Sadashiv Peth
Plot  Area,Ready To Move,3 Bedroom,,646,2,1,65,Sahakar Nagar
Super built-up  Area,Ready To Move,2 BHK,Bhide P,1200,2,2,80,Salunke Vihar
Plot  Area,Ready To Move,2 Bedroom,,900,2,0,49,Sasson Road
Built-up  Area,19-Dec,3 Bedroom,,1830,3,1,88,Satara Road
Plot  Area,Ready To Move,5 Bedroom,,690,4,1,83,Senapati Bapat Road
Built-up  Area,Ready To Move,1 BHK,,650,1,3,500,Shaniwar Peth
Plot  Area,Ready To Move,5 Bedroom,,1800,4,1,68,Shivaji Nagar
Built-up  Area,Ready To Move,3 BHK,,715,2,0,32,Shukrawar Peth
Super built-up  Area,18-Sep,3 BHK,SunceEs,1230,2,2,31.37,Sinhagad Road
Super built-up  Area,Ready To Move,2 BHK,,1065,2,1,42.59,Somwar Peth
Plot  Area,Ready To Move,8 Bedroom,,1350,8,2,185,Swargate
Plot  Area,Ready To Move,3 Bedroom,,1080,3,2,149,Tilak Road
Built-up  Area,Ready To Move,3 BHK,,900,2,0,65,Uruli Devachi
Super built-up  Area,Ready To Move,2 BHK,CMhidal,946,2,2,45,Vadgaon Budruk
Super built-up  Area,Ready To Move,1 BHK,,1500,1,0,60,Wadgaon Sheri
Super built-up  Area,18-May,3 BHK,PualeSk,1711,3,1,110,Viman Nagar
Plot  Area,Ready To Move,4 Bedroom,,1200,3,2,160,Vishrant Wadi
Super built-up  Area,18-Aug,2 BHK,SuVue S,950,2,1,25.65,Wagholi
Super built-up  Area,Ready To Move,3 BHK,Brlms P,1656,3,2,80,Wakadewadi
Super built-up  Area,Ready To Move,2 BHK,Ayaya A,1075,2,1,46.76,Wanowrie
Super built-up  Area,Ready To Move,3 BHK,,1752.12,3,2,133,Warje
Plot  Area,Ready To Move,8 Bedroom,,6000,8,0,220,Yerawada
Super built-up  Area,Ready To Move,3 BHK,,1540,3,3,85,Alandi Road
Plot  Area,Ready To Move,4 Bedroom,,600,4,3,125,Ambegaon Budruk
Super built-up  Area,Ready To Move,1 BHK,Ciisera,665,1,2,32,Anandnagar
Super built-up  Area,Ready To Move,3 BHK,,1665,3,,110,Aundh
Super built-up  Area,18-Mar,2 BHK,Shitt S,1145,2,1,54,Aundh Road
Super built-up  Area,18-Aug,2 BHK,SSdhimr,1185,2,2,41,Balaji Nagar
Plot  Area,Ready To Move,3 Bedroom,,1200,3,1,190,Baner
Built-up  Area,Ready To Move,3 BHK,Duals P,1693,3,2,125,Baner road
Super built-up  Area,Ready To Move,3 BHK,Toiasle,2456,3,3,220,Bhandarkar Road
Super built-up  Area,Ready To Move,3 BHK,PhestOn,2559,3,2,403,Bhavani Peth
Super built-up  Area,Ready To Move,2 BHK,SLnssPr,1155,2,1,40.6,Bibvewadi
Super built-up  Area,17-Oct,3 BHK,,1610,2,2,64.4,Bopodi
Plot  Area,18-Nov,3 Bedroom,,1200,3,2,56.58,Budhwar Peth
Plot  Area,Ready To Move,2 Bedroom,,1530,2,1,185,Bund Garden Road
Built-up  Area,Ready To Move,3 BHK,,1709,3,1,80,Camp
Plot  Area,Ready To Move,4 Bedroom,,600,4,0,60,Chandan Nagar
Plot  Area,Ready To Move,8 Bedroom,,2700,8,,290,Dapodi
Plot  Area,Ready To Move,1 Bedroom,,840,1,1,150,Deccan Gymkhana
Super built-up  Area,Ready To Move,3 BHK,,1400,2,1,50,Dehu Road
Super built-up  Area,Ready To Move,2 BHK,Thisea ,1200,2,1,42,Dhankawadi
Super built-up  Area,Ready To Move,3 BHK,SGllaav,1439,3,1,57.23,Dhayari Phata
Super built-up  Area,Ready To Move,2 BHK,,1375,2,2,72,Dhole Patil Road
Plot  Area,Ready To Move,5 Bedroom,,2990,5,3,416,Erandwane
Super built-up  Area,Ready To Move,3 BHK,,1200,2,1,75,Fatima Nagar
Built-up  Area,Ready To Move,2 BHK,Velas V,1315,2,3,75,Fergusson College Road
Plot  Area,18-Mar,2 Bedroom,,1500,2,0,40,Ganesh Peth
Built-up  Area,Ready To Move,6 Bedroom,,3600,6,1,200,Ganeshkhind
Super built-up  Area,Ready To Move,2 BHK,Rancy R,1178,2,3,82,Ghorpade Peth
Super built-up  Area,Ready To Move,3 BHK,,1430,3,2,59,Ghorpadi
Super built-up  Area,Ready To Move,3 BHK,Neisei ,1400,2,2,65.8,Gokhale Nagar
Super built-up  Area,Ready To Move,2 BHK,Bhmesy ,1093,2,2,72,Gultekdi
Super built-up  Area,Ready To Move,2 BHK,Bhave E,1200,2,1,45,Guruwar peth
Plot  Area,Ready To Move,5 Bedroom,,5000,6,1,360,Hadapsar
Built-up  Area,15-Dec,3 BHK,Bhsic C,1200,2,0,130,Hadapsar Industrial Estate
Built-up  Area,18-Apr,3 BHK,,2210,3,2,156,Hingne Khurd
Super built-up  Area,Ready To Move,2 BHK,Revane ,1150,2,2,70,Jangali Maharaj Road
Super built-up  Area,Ready To Move,3 BHK,,1435,2,1,60,Kalyani Nagar
Plot  Area,Ready To Move,4 Bedroom,,600,3,,100,Karve Nagar
Super built-up  Area,20-Dec,2 BHK,Oreldhi,1173,2,1,78.2,Karve Road
Super built-up  Area,Ready To Move,2 BHK,SLaceda,1140,2,1,39,Kasba Peth
Super built-up  Area,Ready To Move,3 BHK,Reicace,1717,3,3,120,Katraj
Super built-up  Area,Ready To Move,2 BHK,GMilse ,1325,2,,65,Khadaki
Built-up  Area,Ready To Move,3 BHK,Macanr ,1370,3,2,67,Khadki
Super built-up  Area,21-Aug,2 BHK,GMownTe,1025,2,1,90,Kharadi
Super built-up  Area,Ready To Move,3 BHK,,1409,2,3,62,Kondhwa
Super built-up  Area,Ready To Move,2 BHK,SRageri,1200,2,1,52,Kondhwa Budruk
Super built-up  Area,Ready To Move,2 BHK,NRtesnd,1200,2,1,53.5,Kondhwa Khurd
Super built-up  Area,18-Feb,3 BHK,BrlisCo,1740,4,3,130,Koregaon Park
Super built-up  Area,19-Mar,2 BHK,Puachal,1232,2,1,88,Kothrud
Plot  Area,18-Nov,2 Bedroom,,1200,2,1,36,Law College Road
Super built-up  Area,Ready To Move,4 BHK,Toindls,5924,4,3,625,Laxmi Road
Super built-up  Area,Ready To Move,2 BHK,Shnto F,1250,2,1,50,Lulla Nagar
Built-up  Area,Ready To Move,2 BHK,SNiew L,1475,2,2,171,Mahatma Gandhi Road
Super built-up  Area,Ready To Move,4 BHK,Alarke ,2100,4,2,85,Mangalwar peth
Super built-up  Area,Ready To Move,1 BHK,,552,1,1,23.5,Manik Bagh
Super built-up  Area,Ready To Move,3 BHK,,1065,2,2,42.59,Market yard
Plot  Area,17-Aug,3 Bedroom,,1000,3,1,130,Model colony
Plot  Area,Ready To Move,2 Bedroom,,1225,2,0,65,Mukund Nagar
Built-up  Area,Ready To Move,1 BHK,,650,1,0,16,Mundhawa
Super built-up  Area,Ready To Move,2 BHK,Gancy P,1067,2,2,52,Nagar Road
Super built-up  Area,Ready To Move,3 BHK,Sondaka,1364,2,2,56,Nana Peth
Super built-up  Area,Ready To Move,3 BHK,,1750,3,3,75,Narayan Peth
Super built-up  Area,Ready To Move,2 BHK,,1240,2,1,71,Narayangaon
Plot  Area,Ready To Move,2 Bedroom,,1200,2,0,75,Navi Peth
Super built-up  Area,Ready To Move,3 BHK,,1540,3,,75,Padmavati
Super built-up  Area,Ready To Move,3 BHK,NChtsun,1504,2,2,102,Parvati Darshan
Super built-up  Area,Ready To Move,2 BHK,,1116,2,1,49.8,Pashan
Super built-up  Area,Ready To Move,3 BHK,Samittv,2365,4,2,175,Paud Road
Built-up  Area,Ready To Move,2 BHK,,1308,2,2,37,Pirangut
Built-up  Area,Ready To Move,2 BHK,,864,2,0,45,Prabhat Road
Plot  Area,Ready To Move,5 Bedroom,,1200,5,1,139,Pune Railway Station
Super built-up  Area,Ready To Move,3 BHK,Sohti S,1069,2,,38,Rasta Peth
Super built-up  Area,Ready To Move,2 BHK,Prersis,1333,2,1,100,Raviwar Peth
Super built-up  Area,Ready To Move,4 BHK,,1800,4,1,145,Sadashiv Peth
Plot  Area,Ready To Move,4 Bedroom,Soyleif,6136,4,,550,Sahakar Nagar
Super built-up  Area,Ready To Move,3 BHK,Soitya ,1698,3,2,107,Salunke Vihar
Super built-up  Area,18-Jun,3 BHK,,1275,2,2,43.6,Sasson Road
Super built-up  Area,Ready To Move,2 BHK,Avlls H,1060,2,1,48,Satara Road
Super built-up  Area,Ready To Move,2 BHK,,1160,2,1,49,Senapati Bapat Road
Super built-up  Area,Ready To Move,3 BHK,Arldsyo,1484,2,,65,Shaniwar Peth
Plot  Area,Ready To Move,3 Bedroom,,675,3,1,70,Shivaji Nagar
Plot  Area,Ready To Move,3 Bedroom,,1200,5,,325,Shukrawar Peth
Super built-up  Area,Ready To Move,2 BHK,Mileeou,1310,2,1,66,Sinhagad Road
Plot  Area,Ready To Move,6 Bedroom,,1806,6,1,370,Somwar Peth
Super built-up  Area,Ready To Move,4 BHK,HViesar,3000,4,,240,Swargate
Super built-up  Area,Ready To Move,3 BHK,,2145,3,2,165,Tilak Road
Super built-up  Area,Ready To Move,3 BHK,Duals P,1693,3,1,125,Uruli Devachi
Super built-up  Area,Ready To Move,3 BHK,DLhtsen,1230,3,3,60,Vadgaon Budruk
Plot  Area,18-Jan,3 Bedroom,Ozdiaan,1200,3,1,145,Wadgaon Sheri
Built-up  Area,18-Aug,3 BHK,,1310,2,1,37.83,Viman Nagar
Super built-up  Area,Ready To Move,2 BHK,,1150,2,1,60,Vishrant Wadi
Super built-up  Area,18-Apr,3 BHK,Sadhii ,1385,2,2,66.5,Wagholi
Super built-up  Area,Ready To Move,2 BHK,Redarav,1066,2,2,52.5,Wakadewadi
Super built-up  Area,19-Dec,3 BHK,DSity S,2293,3,2,80.26,Wanowrie
Plot  Area,Ready To Move,3 Bedroom,,720,3,1,81,Warje
Carpet  Area,Ready To Move,3 BHK,,1625,3,3,92,Yerawada
Super built-up  Area,Ready To Move,2 BHK,,1246,2,1,67.4,Alandi Road
Plot  Area,Ready To Move,4 Bedroom,,2100,6,1,252,Ambegaon Budruk
Super built-up  Area,Ready To Move,4 BHK,,2400,4,3,250,Anandnagar
Plot  Area,Ready To Move,6 Bedroom,,3900,6,,195,Aundh
Super built-up  Area,Ready To Move,2 BHK,Axdam V,1000,2,1,70.65,Aundh Road
Super built-up  Area,Ready To Move,2 BHK,MYncysi,907,2,2,38,Balaji Nagar
Plot  Area,Ready To Move,4 Bedroom,,3500,4,0,138,Baner
Super built-up  Area,Ready To Move,3 BHK,Vaensia,1395,2,3,79,Baner road
Super built-up  Area,Ready To Move,2 BHK,Shont F,1180,2,2,50,Bhandarkar Road
Plot  Area,Ready To Move,5 Bedroom,,1903,6,2,140,Bhavani Peth
Super built-up  Area,18-Mar,2 BHK,,1175,2,1,47,Bibvewadi
Super built-up  Area,Ready To Move,2 BHK,,1272,2,2,51.5,Bopodi
Super built-up  Area,Ready To Move,3 BHK,MadorSp,1490,2,1,92,Budhwar Peth
Super built-up  Area,Ready To Move,2 BHK,IBityin,1144,2,2,67,Bund Garden Road
Plot  Area,17-Aug,4 Bedroom,,2400,5,,140,Camp
Super built-up  Area,Ready To Move,2 BHK,SLtraks,1143,2,1,53,Chandan Nagar
Plot  Area,Ready To Move,3 Bedroom,CoinoCu,2500,3,2,190,Dapodi
Super built-up  Area,18-Dec,2 BHK,Prtates,1216,2,1,75,Deccan Gymkhana
Super built-up  Area,17-Jun,2 BHK,Mauil T,1044,2,1,60,Dehu Road
Super built-up  Area,Ready To Move,2 BHK,Prlmsge,1352,3,1,93,Dhankawadi
Super built-up  Area,Ready To Move,3 BHK,,1552,3,3,75,Dhayari Phata
Built-up  Area,Ready To Move,3 BHK,Krala D,1785,3,2,120,Dhole Patil Road
Super built-up  Area,Ready To Move,2 BHK,,810,2,2,34.5,Erandwane
Super built-up  Area,18-May,3 BHK,Naiewre,1650,3,2,51.98,Fatima Nagar
Super built-up  Area,Ready To Move,3 BHK,,1595,3,2,70.39,Fergusson College Road
Super built-up  Area,Ready To Move,2 BHK,Rabow R,1060,2,1,35,Ganesh Peth
Super built-up  Area,Ready To Move,3 BHK,,1410,2,3,65,Ganeshkhind
Super built-up  Area,Ready To Move,3 BHK,DSesthr,1523,2,2,56,Ghorpade Peth
Super built-up  Area,19-Jan,3 BHK,PrityFa,1591,3,1,122,Ghorpadi
Super built-up  Area,Ready To Move,3 BHK,SJcerpe,1640,3,3,84,Gokhale Nagar
Built-up  Area,Ready To Move,1 BHK,KHatsFl,450,1,0,16,Gultekdi
Super built-up  Area,Ready To Move,3 BHK,Amarere,1305,2,2,60,Guruwar peth
Super built-up  Area,Ready To Move,3 BHK,,1590,3,1,54,Hadapsar
Built-up  Area,Ready To Move,2 BHK,Frowsru,1240,2,3,45,Hadapsar Industrial Estate
Super built-up  Area,Ready To Move,2 BHK,,1200,2,2,54,Hingne Khurd
Super built-up  Area,Ready To Move,2 BHK,,1100,2,1,41.16,Jangali Maharaj Road
Super built-up  Area,Ready To Move,2 BHK,K ncy R,1180,2,1,128,Kalyani Nagar
Super built-up  Area,Ready To Move,2 BHK,,1115,2,1,50,Karve Nagar
Super built-up  Area,Ready To Move,2 BHK,Prityel,845,2,1,33,Karve Road
Super built-up  Area,Ready To Move,3 BHK,,1567.2,2,0,190,Kasba Peth
Super built-up  Area,Ready To Move,3 BHK,Unm 2El,1310,2,2,45,Katraj
Plot  Area,Ready To Move,1 Bedroom,,26136,1,0,150,Khadaki
Built-up  Area,Ready To Move,2 BHK,,959,2,1,42.5,Khadki
Built-up  Area,Ready To Move,4 BHK,,1200,4,1,140,Kharadi
Super built-up  Area,Ready To Move,2 BHK,Prrtht ,883,2,1,37,Kondhwa
Super built-up  Area,Ready To Move,2 BHK,,1050,2,2,55.5,Kondhwa Budruk
Super built-up  Area,21-Mar,2 BHK,Goues A,1390,2,2,70.21,Kondhwa Khurd
Built-up  Area,Ready To Move,2 BHK,,132Sq. Yards,2,3,46,Koregaon Park
Super built-up  Area,Ready To Move,3 BHK,AriosPa,1280,2,2,69,Kothrud
Plot  Area,Ready To Move,7 Bedroom,,1280,5,3,150,Law College Road
Super built-up  Area,Ready To Move,3 BHK,PuziaVe,1614,3,2,95,Laxmi Road
Super built-up  Area,Ready To Move,2 BHK,,1000,2,0,58,Lulla Nagar
Super built-up  Area,18-Apr,2 BHK,,1196,2,2,57.9,Mahatma Gandhi Road
Super built-up  Area,Ready To Move,3 BHK,,1220,3,2,57,Mangalwar peth
Super built-up  Area,19-Apr,2 BHK,Sisice ,950,2,1,31.95,Manik Bagh
Super built-up  Area,Ready To Move,9 BHK,,2400,8,,325,Market yard
Super built-up  Area,Ready To Move,2 BHK,Daganva,1141,2,1,55,Model colony
Super built-up  Area,Ready To Move,2 BHK,Saisena,1200,2,2,51,Mukund Nagar
Super built-up  Area,Ready To Move,3 BHK,,1380,2,2,55,Mundhawa
Super built-up  Area,Ready To Move,2 BHK,Elayabh,855,2,1,32,Nagar Road
Super built-up  Area,18-Sep,1 BHK,SunceEs,645,1,1,16.45,Nana Peth
Super built-up  Area,Ready To Move,2 BHK,Siissi ,922,2,1,36,Narayan Peth
Built-up  Area,Ready To Move,2 BHK,,1200,2,2,43.2,Narayangaon
Super built-up  Area,Ready To Move,3 BHK,Gaenty ,1240,2,2,65,Navi Peth
Super built-up  Area,18-Aug,2 BHK,,1070,2,2,42,Padmavati
Super built-up  Area,Ready To Move,2 BHK,Almid P,1293,2,2,75,Parvati Darshan
Built-up  Area,Ready To Move,3 BHK,,1380,2,1,50,Pashan
Super built-up  Area,Ready To Move,3 BHK,Cerasy ,1599,3,2,80,Paud Road
Super built-up  Area,Ready To Move,2 BHK,Veyalin,967,2,2,41.1,Pirangut
Super built-up  Area,Ready To Move,3 BHK,SaMTBai,1885,3,3,90,Prabhat Road
Built-up  Area,Ready To Move,2 BHK,,860,2,2,65.5,Pune Railway Station
Plot  Area,Ready To Move,1 Bedroom,,1075,1,0,19.5,Rasta Peth
Super built-up  Area,Ready To Move,2 BHK,Ahriaup,1050,2,1,63.5,Raviwar Peth
Super built-up  Area,Ready To Move,3 BHK,PuilaMi,1595,3,2,88,Sadashiv Peth
Super built-up  Area,Ready To Move,2 BHK,Adeatlm,1350,2,2,102,Sahakar Nagar
Built-up  Area,Ready To Move,2 BHK,Srntsha,1204,2,2,45,Salunke Vihar
Super built-up  Area,Ready To Move,4 BHK,SoineJa,2990,4,,240,Sasson Road
Super built-up  Area,Ready To Move,2 BHK,Usquaya,1035,2,2,49,Satara Road
Super built-up  Area,18-Dec,2 BHK,,1000,2,1,29.95,Senapati Bapat Road
Super built-up  Area,Ready To Move,3 BHK,CoLeoen,1457,3,3,85,Shaniwar Peth
Super built-up  Area,Ready To Move,2 BHK,,1194,2,2,47,Shivaji Nagar
Super built-up  Area,21-Dec,2 BHK,,1100,2,1,66,Shukrawar Peth
Super built-up  Area,18-Mar,3 BHK,Prtates,1655,3,3,120,Sinhagad Road
Super built-up  Area,Ready To Move,3 BHK,,1691.2,3,1,115,Somwar Peth
Super built-up  Area,18-Jun,2 BHK,ViistLa,1215,2,1,46.1,Swargate
Super built-up  Area,Ready To Move,2 BHK,Wiowsri,1010 - 1300,2,0,50.125,Tilak Road
Super built-up  Area,22-Jun,3 BHK,GoAirej,1639,3,2,129,Uruli Devachi
Super built-up  Area,18-Apr,3 BHK,PualeSk,1685,3,1,135,Vadgaon Budruk
Built-up  Area,Ready To Move,5 Bedroom,,1008,4,2,180,Wadgaon Sheri
Super built-up  Area,Ready To Move,2 BHK,Jhntspa,1100,2,3,38,Viman Nagar
Super built-up  Area,19-Sep,3 BHK,Vaeva E,2122,3,2,125,Vishrant Wadi
Super built-up  Area,Ready To Move,2 BHK,,1050,2,2,47,Wagholi
Built-up  Area,Ready To Move,2 BHK,Sravema,1230,2,2,45,Wakadewadi
Super built-up  Area,Ready To Move,3 BHK,,1240,3,2,60,Wanowrie
Built-up  Area,16-Oct,3 BHK,Brods W,1252,2,3,65,Warje
Super built-up  Area,Ready To Move,3 BHK,,1374,2,2,88,Yerawada
Super built-up  Area,18-Jul,1 BHK,Maian M,500,1,1,30,Alandi Road
Plot  Area,Ready To Move,8 Bedroom,,1200,8,2,225,Ambegaon Budruk
Super built-up  Area,18-Dec,3 BHK,Magiaya,1355,3,2,83.87,Anandnagar
Super built-up  Area,Ready To Move,2 BHK,,1040,2,3,45,Aundh
Super built-up  Area,Ready To Move,2 BHK,Contsci,1350,2,2,68,Aundh Road
Super built-up  Area,18-Apr,4 BHK,Prtates,4003,6,3,300,Balaji Nagar
Super built-up  Area,Ready To Move,3 BHK,JahtsHe,2400,3,,135,Baner
Super built-up  Area,Ready To Move,3 BHK,Grterrr,1560,3,1,90,Baner road
Super built-up  Area,17-Jul,2 BHK,ViensRK,1151,2,1,43.16,Bhandarkar Road
Super built-up  Area,Ready To Move,3 BHK,,1360,2,2,47.59,Bhavani Peth
Super built-up  Area,Ready To Move,2 BHK,ARntyne,1250,2,2,60,Bibvewadi
Super built-up  Area,19-Dec,3 BHK,SuVue S,1110,2,2,29.97,Bopodi
Built-up  Area,Ready To Move,2 BHK,Baesta ,1015,2,2,50,Budhwar Peth
Super built-up  Area,Ready To Move,3 BHK,Trade E,1351,2,2,78,Bund Garden Road
Super built-up  Area,Ready To Move,2 BHK,KHatsFl,960,2,2,50,Camp
Super built-up  Area,18-May,2 BHK,,1110,2,2,52,Chandan Nagar
Built-up  Area,Ready To Move,3 BHK,GModsNR,1680,3,2,72,Dapodi
Plot  Area,Ready To Move,3 Bedroom,Vetanan,2400,3,1,180,Deccan Gymkhana
Plot  Area,18-Apr,4 Bedroom,Epllan ,11000,5,3,2000,Dehu Road
Built-up  Area,18-Mar,3 BHK,SaaceSa,1350,3,2,48.6,Dhankawadi
Super built-up  Area,Ready To Move,2 BHK,Asorai ,1254,2,2,47,Dhayari Phata
Super built-up  Area,Ready To Move,3 BHK,Ozensve,1255,3,2,115,Dhole Patil Road
Super built-up  Area,Ready To Move,2 BHK,ARestco,1051,2,3,61,Erandwane
Plot  Area,Ready To Move,3 Bedroom,,1200,3,1,205,Fatima Nagar
Built-up  Area,Ready To Move,2 BHK,RaontWa,1099,2,2,65,Fergusson College Road
Super built-up  Area,Ready To Move,3 BHK,SNontle,2650,4,3,199,Ganesh Peth
Built-up  Area,18-May,4 Bedroom,,2000,2,1,160,Ganeshkhind
Super built-up  Area,Ready To Move,2 BHK,RNvasth,1541,2,2,130,Ghorpade Peth
Plot  Area,18-May,3 Bedroom,Cetattu,1200,3,2,70,Ghorpadi
Built-up  Area,Ready To Move,2 BHK,GCngsn ,1125,2,2,45,Gokhale Nagar
Super built-up  Area,Ready To Move,3 BHK,Prlla C,1650,3,2,85,Gultekdi
Super built-up  Area,Ready To Move,1 BHK,Kaantth,834,1,1,62,Guruwar peth
Super built-up  Area,Ready To Move,3 BHK,Mauner ,1320,3,2,60,Hadapsar
Plot  Area,Ready To Move,3 Bedroom,,1200,3,1,149,Hadapsar Industrial Estate
Plot  Area,Ready To Move,8 Bedroom,,1000,7,0,160,Hingne Khurd
Super built-up  Area,19-Apr,3 BHK,Brama P,1500,3,2,74,Jangali Maharaj Road
Plot  Area,Ready To Move,4 Bedroom,Pronege,4400,5,2,500,Kalyani Nagar
Plot  Area,Ready To Move,1 Bedroom,,2Acres,1,0,125,Karve Nagar
Plot  Area,Ready To Move,1 Bedroom,,600,1,0,52,Karve Road
Super built-up  Area,Ready To Move,2 BHK,Suram S,1180,2,2,70,Kasba Peth
Super built-up  Area,Ready To Move,2 BHK,SLoven ,1010,2,1,50,Katraj
Super built-up  Area,Ready To Move,2 BHK,,1070,2,1,38,Khadaki
Super built-up  Area,Ready To Move,3 BHK,,1580,3,3,105,Khadki
Plot  Area,Ready To Move,4 Bedroom,,1200,5,,325,Kharadi
Super built-up  Area,Ready To Move,3 BHK,,2000,3,,165,Kondhwa
Super built-up  Area,Ready To Move,3 BHK,DNionfl,1920,3,2,130,Kondhwa Budruk
Super built-up  Area,Ready To Move,3 BHK,,1200,2,1,76,Kondhwa Khurd
Built-up  Area,Ready To Move,2 BHK,Prmesi ,1040,2,2,45,Koregaon Park
Super built-up  Area,Ready To Move,3 BHK,Inods A,1430,2,2,90,Kothrud
Super built-up  Area,Ready To Move,3 BHK,,1215,2,2,52.85,Law College Road
Super built-up  Area,Ready To Move,1 BHK,Saiewas,650,1,1,70,Laxmi Road
Super built-up  Area,Ready To Move,3 BHK,Soitya ,1564,3,1,105,Lulla Nagar
Built-up  Area,Ready To Move,3 Bedroom,,800,2,1,52,Mahatma Gandhi Road
Built-up  Area,Ready To Move,2 Bedroom,,750,2,0,58,Mangalwar peth
Super built-up  Area,Ready To Move,2 BHK,,1200,2,2,60,Manik Bagh
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1128,2,1,48.79,Market yard
Super built-up  Area,Ready To Move,2 BHK,Dhalsh ,1200,2,2,44.4,Model colony
Super built-up  Area,Ready To Move,4 BHK,,2000,4,1,135,Mukund Nagar
Super built-up  Area,Ready To Move,3 BHK,Leora D,2750,3,,260,Mundhawa
Plot  Area,Ready To Move,4 Bedroom,,2400,4,2,480,Nagar Road
Built-up  Area,Ready To Move,3 BHK,BKideor,1650,3,3,105,Nana Peth
Super built-up  Area,18-Jun,2 BHK,,1235,2,2,148,Narayan Peth
Built-up  Area,Ready To Move,2 BHK,JSlipTu,1200,2,2,55,Narayangaon
Super built-up  Area,Ready To Move,6 BHK,,900,5,,100,Navi Peth
Super built-up  Area,Ready To Move,2 BHK,Malowr ,985,2,2,42,Padmavati
Super built-up  Area,18-May,3 BHK,ViistLa,1475,2,2,63,Parvati Darshan
Super built-up  Area,Ready To Move,3 BHK,Brium C,3450,5,0,348,Pashan
Super built-up  Area,19-Nov,3 BHK,AsastDe,1157,2,1,53.99,Paud Road
Built-up  Area,Ready To Move,2 BHK,Apvas N,900,2,3,35,Pirangut
Plot  Area,Ready To Move,4 Bedroom,,2500,3,2,120,Prabhat Road
Built-up  Area,Ready To Move,2 BHK,,1030,2,1,60,Pune Railway Station
Super built-up  Area,18-Apr,2 BHK,,1000,2,1,46,Rasta Peth
Built-up  Area,Ready To Move,4 Bedroom,Vaunei ,3800,3,3,325,Raviwar Peth
Plot  Area,18-May,4 Bedroom,,4260,4,2,333,Sadashiv Peth
Plot  Area,Ready To Move,5 Bedroom,Goodsrb,1950,6,3,175,Sahakar Nagar
Super built-up  Area,Ready To Move,3 BHK,GKityde,1570,2,2,65.94,Salunke Vihar
Super built-up  Area,18-Aug,2 BHK,GoityEt,1283,2,2,68,Sasson Road
Built-up  Area,Ready To Move,3 BHK,Assha A,875,2,2,40,Satara Road
Super built-up  Area,Ready To Move,2 BHK,,1200,2,2,52,Senapati Bapat Road
Plot  Area,Ready To Move,3 Bedroom,,2700,3,0,500,Shaniwar Peth
Plot  Area,Ready To Move,3 Bedroom,,2400,2,3,180,Shivaji Nagar
Super built-up  Area,Ready To Move,3 BHK,,1250,2,2,68.75,Shukrawar Peth
Super built-up  Area,18-Feb,4 BHK,Brica E,3630,6,1,196,Sinhagad Road
Super built-up  Area,Ready To Move,2 BHK,Pyikad ,990,2,2,37.62,Somwar Peth
Super built-up  Area,Ready To Move,2 BHK,Prcesvy,1199,2,1,85,Swargate
Super built-up  Area,Ready To Move,2 BHK,,1280,2,2,90,Tilak Road
Super built-up  Area,20-May,4 BHK,,2750,4,0,413,Uruli Devachi
Built-up  Area,Ready To Move,2 BHK,Myhrie ,1190,2,1,55,Vadgaon Budruk
Super built-up  Area,Ready To Move,2 BHK,,1100,2,2,60,Wadgaon Sheri
Super built-up  Area,Ready To Move,3 BHK,,2075,3,1,175,Viman Nagar
Built-up  Area,Ready To Move,2 BHK,Spiteid,1133,2,1,55,Vishrant Wadi
Built-up  Area,Ready To Move,4 BHK,ManceEl,2400,3,3,140,Wagholi
Super built-up  Area,Ready To Move,2 BHK,,1280,2,2,69,Wakadewadi
Super built-up  Area,Ready To Move,3 BHK,,1250,3,2,65,Wanowrie
Super built-up  Area,Ready To Move,3 BHK,Dhalsh ,1565,2,2,49.3,Warje
Super built-up  Area,Ready To Move,3 BHK,,1900,3,0,65,Yerawada
Built-up  Area,Ready To Move,2 BHK,PancyRe,1080,2,2,45,Alandi Road
Super built-up  Area,Ready To Move,1 BHK,,600,1,0,47,Ambegaon Budruk
Plot  Area,Ready To Move,3 Bedroom,Hiowsi ,1240,4,1,180,Anandnagar
Built-up  Area,Ready To Move,3 BHK,Fleepi ,1335,2,1,87,Aundh
Super built-up  Area,Ready To Move,2 BHK,,1246,2,1,67.3,Aundh Road
Super built-up  Area,18-Dec,3 BHK,Pehtsa ,3103 - 3890,,,237.5,Balaji Nagar
Super built-up  Area,Ready To Move,3 BHK,,1385,3,1,55,Baner
Super built-up  Area,18-Nov,3 BHK,,1578,3,1,73.9,Baner road
Super built-up  Area,Ready To Move,2 BHK,NRosete,1140,2,2,46,Bhandarkar Road
Super built-up  Area,18-Dec,3 BHK,PualeSk,1700,3,1,79.9,Bhavani Peth
Plot  Area,Ready To Move,4 Bedroom,,1050,4,0,90,Bibvewadi
Built-up  Area,Ready To Move,2 BHK,,1120,2,1,70,Bopodi
